| op | noc | mode | endpoint | posting | cores | total MiB | window cyc | agg B/cyc | agg GB/s | bad counter rows |
|---|---:|---|---|---|---:|---:|---:|---:|---:|---:|
| read | 0 | spread | preferred | standard | 1 | 1.0 | 22618 | 46.360 | 62.6 | 0 |
| read | 0 | spread | preferred | standard | 7 | 7.0 | 84571 | 86.791 | 117.2 | 0 |
| read | 0 | spread | preferred | standard | 14 | 14.0 | 128480 | 114.260 | 154.3 | 0 |
| read | 0 | spread | preferred | standard | 28 | 28.0 | 161047 | 182.308 | 246.1 | 0 |
| read | 0 | spread | preferred | standard | 56 | 56.0 | 274864 | 213.634 | 288.4 | 0 |
| read | 0 | spread | preferred | standard | 118 | 118.0 | 585333 | 211.387 | 285.4 | 0 |
| read | 1 | spread | preferred | standard | 1 | 1.0 | 22643 | 46.309 | 62.5 | 0 |
| read | 1 | spread | preferred | standard | 7 | 7.0 | 68450 | 107.232 | 144.8 | 0 |
| read | 1 | spread | preferred | standard | 14 | 14.0 | 112922 | 130.002 | 175.5 | 0 |
| read | 1 | spread | preferred | standard | 28 | 28.0 | 232147 | 126.472 | 170.7 | 0 |
| read | 1 | spread | preferred | standard | 56 | 56.0 | 428325 | 137.093 | 185.1 | 0 |
| read | 1 | spread | preferred | standard | 118 | 118.0 | 840611 | 147.193 | 198.7 | 0 |
| write | 0 | spread | preferred | standard | 1 | 1.0 | 22300 | 47.021 | 63.5 | 0 |
| write | 0 | spread | preferred | standard | 7 | 7.0 | 65022 | 112.885 | 152.4 | 0 |
| write | 0 | spread | preferred | standard | 14 | 14.0 | 110056 | 133.387 | 180.1 | 0 |
| write | 0 | spread | preferred | standard | 28 | 28.0 | 236395 | 124.199 | 167.7 | 0 |
| write | 0 | spread | preferred | standard | 56 | 56.0 | 527543 | 111.309 | 150.3 | 0 |
| write | 0 | spread | preferred | standard | 118 | 118.0 | 1080217 | 114.544 | 154.6 | 0 |
| write | 1 | spread | preferred | standard | 1 | 1.0 | 22694 | 46.205 | 62.4 | 0 |
| write | 1 | spread | preferred | standard | 7 | 7.0 | 81249 | 90.340 | 122.0 | 0 |
| write | 1 | spread | preferred | standard | 14 | 14.0 | 128773 | 114.000 | 153.9 | 0 |
| write | 1 | spread | preferred | standard | 28 | 28.0 | 213745 | 137.361 | 185.4 | 0 |
| write | 1 | spread | preferred | standard | 56 | 56.0 | 359606 | 163.291 | 220.4 | 0 |
| write | 1 | spread | preferred | standard | 118 | 118.0 | 682209 | 181.370 | 244.8 | 0 |

appended /home/boop/tenstorrent/blackhole-py/microbenching/docs/noc/dram-noc-bench.md
