| noc | mode | source | read target | write target | bytes | iters | cycles | agg B/cyc | wr delta | rd delta | read sink | write seen |
|---:|---|---|---|---|---:|---:|---:|---:|---:|---:|---:|---:|
| 0 | read | `1,2` | `2,2` | `1,3` | 16384 | 64 | 16882 | 62.112 | 0 | 64 | 0xa5000000 | 0x00000000 |
| 0 | write | `1,2` | `2,2` | `1,3` | 16384 | 64 | 16917 | 61.984 | 64 | 0 | 0x00000000 | 0xa5000000 |
| 0 | wr-read | `1,2` | `2,2` | `1,3` | 16384 | 64 | 17485 | 119.940 | 64 | 64 | 0xa5000000 | 0xa5000000 |
| 0 | read-wr | `1,2` | `2,2` | `1,3` | 16384 | 64 | 17220 | 121.786 | 64 | 64 | 0xa5000000 | 0xa5000000 |
| 1 | read | `1,2` | `2,2` | `1,3` | 16384 | 64 | 16904 | 62.031 | 0 | 64 | 0xa5000000 | 0x00000000 |
| 1 | write | `1,2` | `2,2` | `1,3` | 16384 | 64 | 16742 | 62.631 | 64 | 0 | 0x00000000 | 0xa5000000 |
| 1 | wr-read | `1,2` | `2,2` | `1,3` | 16384 | 64 | 17397 | 120.547 | 64 | 64 | 0xa5000000 | 0xa5000000 |
| 1 | read-wr | `1,2` | `2,2` | `1,3` | 16384 | 64 | 17149 | 122.290 | 64 | 64 | 0xa5000000 | 0xa5000000 |

appended microbenching/docs/noc/noc-same-initiator-active.md
