| noc | major | reserve | depth | source | receiver | rect | bytes | iters | seen-issue cyc | seen-sent cyc | sent reqs | recv polls |
|---:|---|---:|---:|---|---|---|---:|---:|---|---|---:|---:|
| 0 | x | 1 | 1 | `1,2` | `2,3` | `2,3->4,5` | 64 | 8 | min=175 avg=183.625 med=183.000 max=198 | min=110 avg=118.125 med=118.000 max=129 | 8 | 8846 |
| 0 | x | 1 | 1 | `1,2` | `3,3` | `2,3->4,5` | 64 | 8 | min=183 avg=186.875 med=185.500 max=199 | min=118 avg=121.375 med=120.500 max=130 | 8 | 8859 |
| 0 | x | 1 | 1 | `1,2` | `4,3` | `2,3->4,5` | 64 | 8 | min=188 avg=194.000 med=190.500 max=213 | min=123 avg=128.500 med=125.500 max=144 | 8 | 8869 |
| 0 | x | 1 | 1 | `1,2` | `2,4` | `2,3->4,5` | 64 | 8 | min=184 avg=190.250 med=187.000 max=212 | min=119 avg=124.750 med=122.000 max=143 | 8 | 8845 |
| 0 | x | 1 | 1 | `1,2` | `3,4` | `2,3->4,5` | 64 | 8 | min=190 avg=195.875 med=194.500 max=212 | min=125 avg=130.375 med=129.500 max=143 | 8 | 8832 |
| 0 | x | 1 | 1 | `1,2` | `4,4` | `2,3->4,5` | 64 | 8 | min=193 avg=199.125 med=197.500 max=216 | min=128 avg=133.625 med=132.500 max=147 | 8 | 8833 |
| 0 | x | 1 | 1 | `1,2` | `2,5` | `2,3->4,5` | 64 | 8 | min=193 avg=199.125 med=197.000 max=214 | min=128 avg=133.625 med=132.000 max=145 | 8 | 8791 |
| 0 | x | 1 | 1 | `1,2` | `3,5` | `2,3->4,5` | 64 | 8 | min=197 avg=202.125 med=198.500 max=222 | min=132 avg=136.625 med=133.500 max=153 | 8 | 8832 |
| 0 | x | 1 | 1 | `1,2` | `4,5` | `2,3->4,5` | 64 | 8 | min=201 avg=206.375 med=205.000 max=221 | min=136 avg=140.875 med=140.000 max=152 | 8 | 8884 |

| noc | major | reserve | depth | source | receiver | rect | bytes | iters | seen-issue cyc | seen-sent cyc | sent reqs | recv polls |
|---:|---|---:|---:|---|---|---|---:|---:|---|---|---:|---:|
| 0 | x | 1 | 2 | `1,2` | `2,3` | `2,3->4,5` | 64 | 8 | min=179 avg=183.875 med=186.000 max=187 | min=75 avg=80.375 med=82.000 max=83 | 16 | 8819 |
| 0 | x | 1 | 2 | `1,2` | `3,3` | `2,3->4,5` | 64 | 8 | min=183 avg=187.500 med=187.000 max=192 | min=79 avg=84.000 med=84.500 max=88 | 16 | 8920 |
| 0 | x | 1 | 2 | `1,2` | `4,3` | `2,3->4,5` | 64 | 8 | min=191 avg=194.750 med=194.500 max=200 | min=87 avg=91.250 med=90.500 max=97 | 16 | 8919 |
| 0 | x | 1 | 2 | `1,2` | `2,4` | `2,3->4,5` | 64 | 8 | min=187 avg=192.125 med=191.500 max=197 | min=83 avg=88.625 med=89.000 max=93 | 16 | 8874 |
| 0 | x | 1 | 2 | `1,2` | `3,4` | `2,3->4,5` | 64 | 8 | min=193 avg=198.875 med=201.000 max=201 | min=89 avg=95.375 med=97.000 max=97 | 16 | 8876 |
| 0 | x | 1 | 2 | `1,2` | `4,4` | `2,3->4,5` | 64 | 8 | min=195 avg=198.750 med=197.500 max=204 | min=91 avg=95.250 med=93.500 max=101 | 16 | 8886 |
| 0 | x | 1 | 2 | `1,2` | `2,5` | `2,3->4,5` | 64 | 8 | min=196 avg=201.375 med=202.500 max=207 | min=92 avg=97.875 med=98.500 max=103 | 16 | 8889 |
| 0 | x | 1 | 2 | `1,2` | `3,5` | `2,3->4,5` | 64 | 8 | min=200 avg=204.375 med=204.500 max=209 | min=96 avg=100.875 med=100.500 max=109 | 16 | 8916 |
| 0 | x | 1 | 2 | `1,2` | `4,5` | `2,3->4,5` | 64 | 8 | min=208 avg=211.125 med=211.500 max=214 | min=104 avg=107.625 med=107.500 max=114 | 16 | 8833 |

| noc | major | reserve | depth | source | receiver | rect | bytes | iters | seen-issue cyc | seen-sent cyc | sent reqs | recv polls |
|---:|---|---:|---:|---|---|---|---:|---:|---|---|---:|---:|
| 0 | x | 1 | 4 | `1,2` | `2,3` | `2,3->4,5` | 64 | 8 | min=261 avg=268.250 med=266.000 max=285 | min=23 avg=30.000 med=28.000 max=45 | 32 | 8942 |
| 0 | x | 1 | 4 | `1,2` | `3,3` | `2,3->4,5` | 64 | 8 | min=269 avg=271.375 med=270.000 max=281 | min=31 avg=33.125 med=32.000 max=41 | 32 | 9015 |
| 0 | x | 1 | 4 | `1,2` | `4,3` | `2,3->4,5` | 64 | 8 | min=274 avg=279.750 med=279.000 max=300 | min=36 avg=41.500 med=41.000 max=60 | 32 | 9012 |
| 0 | x | 1 | 4 | `1,2` | `2,4` | `2,3->4,5` | 64 | 8 | min=270 avg=276.500 med=275.500 max=288 | min=32 avg=38.250 med=37.500 max=48 | 32 | 8929 |
| 0 | x | 1 | 4 | `1,2` | `3,4` | `2,3->4,5` | 64 | 8 | min=278 avg=280.375 med=279.000 max=290 | min=40 avg=42.125 med=41.000 max=50 | 32 | 9015 |
| 0 | x | 1 | 4 | `1,2` | `4,4` | `2,3->4,5` | 64 | 8 | min=278 avg=283.000 med=282.000 max=294 | min=40 avg=44.750 med=44.000 max=54 | 32 | 8985 |
| 0 | x | 1 | 4 | `1,2` | `2,5` | `2,3->4,5` | 64 | 8 | min=279 avg=284.625 med=284.000 max=304 | min=41 avg=46.375 med=46.000 max=64 | 32 | 9012 |
| 0 | x | 1 | 4 | `1,2` | `3,5` | `2,3->4,5` | 64 | 8 | min=283 avg=288.125 med=287.000 max=299 | min=45 avg=49.875 med=49.000 max=59 | 32 | 8916 |
| 0 | x | 1 | 4 | `1,2` | `4,5` | `2,3->4,5` | 64 | 8 | min=287 avg=294.875 med=295.500 max=304 | min=49 avg=56.625 med=57.500 max=64 | 32 | 8996 |

| noc | major | reserve | depth | source | receiver | rect | bytes | iters | seen-issue cyc | seen-sent cyc | sent reqs | recv polls |
|---:|---|---:|---:|---|---|---|---:|---:|---|---|---:|---:|
| 0 | x | 1 | 1 | `1,2` | `2,3` | `2,3->4,5` | 1024 | 8 | min=193 avg=196.375 med=196.000 max=200 | min=32 avg=35.375 med=35.000 max=39 | 8 | 8937 |
| 0 | x | 1 | 1 | `1,2` | `3,3` | `2,3->4,5` | 1024 | 8 | min=194 avg=198.625 med=198.500 max=203 | min=33 avg=37.625 med=37.500 max=42 | 8 | 8921 |
| 0 | x | 1 | 1 | `1,2` | `4,3` | `2,3->4,5` | 1024 | 8 | min=204 avg=207.125 med=207.500 max=210 | min=43 avg=46.125 med=46.500 max=49 | 8 | 8867 |
| 0 | x | 1 | 1 | `1,2` | `2,4` | `2,3->4,5` | 1024 | 8 | min=199 avg=203.250 med=202.000 max=209 | min=38 avg=42.250 med=41.000 max=48 | 8 | 8916 |
| 0 | x | 1 | 1 | `1,2` | `3,4` | `2,3->4,5` | 1024 | 8 | min=203 avg=209.250 med=210.000 max=213 | min=42 avg=48.250 med=49.000 max=52 | 8 | 8908 |
| 0 | x | 1 | 1 | `1,2` | `4,4` | `2,3->4,5` | 1024 | 8 | min=210 avg=212.500 med=211.000 max=217 | min=49 avg=51.500 med=50.000 max=56 | 8 | 8945 |
| 0 | x | 1 | 1 | `1,2` | `2,5` | `2,3->4,5` | 1024 | 8 | min=208 avg=210.125 med=210.000 max=213 | min=47 avg=49.125 med=49.000 max=52 | 8 | 8909 |
| 0 | x | 1 | 1 | `1,2` | `3,5` | `2,3->4,5` | 1024 | 8 | min=212 avg=216.375 med=216.500 max=222 | min=51 avg=55.375 med=55.500 max=61 | 8 | 8949 |
| 0 | x | 1 | 1 | `1,2` | `4,5` | `2,3->4,5` | 1024 | 8 | min=220 avg=222.125 med=222.000 max=225 | min=59 avg=61.125 med=61.000 max=64 | 8 | 8909 |

| noc | major | reserve | depth | source | receiver | rect | bytes | iters | seen-issue cyc | seen-sent cyc | sent reqs | recv polls |
|---:|---|---:|---:|---|---|---|---:|---:|---|---|---:|---:|
| 0 | x | 1 | 2 | `1,2` | `2,3` | `2,3->4,5` | 1024 | 8 | min=209 avg=214.250 med=215.500 max=218 | min=32 avg=37.750 med=39.500 max=42 | 16 | 8910 |
| 0 | x | 1 | 2 | `1,2` | `3,3` | `2,3->4,5` | 1024 | 8 | min=213 avg=217.500 med=217.500 max=222 | min=37 avg=41.000 med=40.000 max=46 | 16 | 8908 |
| 0 | x | 1 | 2 | `1,2` | `4,3` | `2,3->4,5` | 1024 | 8 | min=222 avg=226.625 med=227.000 max=232 | min=46 avg=50.125 med=49.000 max=56 | 16 | 8950 |
| 0 | x | 1 | 2 | `1,2` | `2,4` | `2,3->4,5` | 1024 | 8 | min=217 avg=220.875 med=219.500 max=227 | min=41 avg=44.375 med=43.500 max=51 | 16 | 8922 |
| 0 | x | 1 | 2 | `1,2` | `3,4` | `2,3->4,5` | 1024 | 8 | min=222 avg=225.625 med=224.500 max=231 | min=43 avg=49.125 med=48.500 max=55 | 16 | 8924 |
| 0 | x | 1 | 2 | `1,2` | `4,4` | `2,3->4,5` | 1024 | 8 | min=226 avg=230.750 med=231.000 max=236 | min=50 avg=54.250 med=54.500 max=60 | 16 | 8895 |
| 0 | x | 1 | 2 | `1,2` | `2,5` | `2,3->4,5` | 1024 | 8 | min=227 avg=231.375 med=231.000 max=235 | min=51 avg=54.875 med=55.000 max=59 | 16 | 8961 |
| 0 | x | 1 | 2 | `1,2` | `3,5` | `2,3->4,5` | 1024 | 8 | min=231 avg=235.625 med=235.500 max=241 | min=55 avg=59.125 med=59.500 max=64 | 16 | 8974 |
| 0 | x | 1 | 2 | `1,2` | `4,5` | `2,3->4,5` | 1024 | 8 | min=235 avg=238.875 med=239.000 max=244 | min=59 avg=62.375 med=62.000 max=68 | 16 | 8924 |

| noc | major | reserve | depth | source | receiver | rect | bytes | iters | seen-issue cyc | seen-sent cyc | sent reqs | recv polls |
|---:|---|---:|---:|---|---|---|---:|---:|---|---|---:|---:|
| 0 | x | 1 | 4 | `1,2` | `2,3` | `2,3->4,5` | 1024 | 8 | min=276 avg=283.625 med=282.500 max=303 | min=30 avg=34.500 med=35.000 max=38 | 32 | 9020 |
| 0 | x | 1 | 4 | `1,2` | `3,3` | `2,3->4,5` | 1024 | 8 | min=281 avg=289.375 med=287.500 max=312 | min=35 avg=40.250 med=40.500 max=45 | 32 | 8951 |
| 0 | x | 1 | 4 | `1,2` | `4,3` | `2,3->4,5` | 1024 | 8 | min=290 avg=296.875 med=294.000 max=320 | min=44 avg=47.750 med=48.000 max=52 | 32 | 9004 |
| 0 | x | 1 | 4 | `1,2` | `2,4` | `2,3->4,5` | 1024 | 8 | min=285 avg=292.500 med=290.000 max=314 | min=39 avg=43.375 med=42.500 max=49 | 32 | 8979 |
| 0 | x | 1 | 4 | `1,2` | `3,4` | `2,3->4,5` | 1024 | 8 | min=290 avg=296.000 med=292.000 max=316 | min=44 avg=46.875 med=46.000 max=52 | 32 | 9003 |
| 0 | x | 1 | 4 | `1,2` | `4,4` | `2,3->4,5` | 1024 | 8 | min=293 avg=301.125 med=300.500 max=318 | min=47 avg=52.000 med=52.000 max=56 | 32 | 9035 |
| 0 | x | 1 | 4 | `1,2` | `2,5` | `2,3->4,5` | 1024 | 8 | min=295 avg=302.500 med=301.000 max=318 | min=47 avg=53.375 med=54.000 max=58 | 32 | 9020 |
| 0 | x | 1 | 4 | `1,2` | `3,5` | `2,3->4,5` | 1024 | 8 | min=299 avg=306.625 med=305.500 max=325 | min=53 avg=57.500 med=56.500 max=63 | 32 | 8966 |
| 0 | x | 1 | 4 | `1,2` | `4,5` | `2,3->4,5` | 1024 | 8 | min=302 avg=309.125 med=306.000 max=334 | min=56 avg=60.000 med=60.000 max=63 | 32 | 8989 |

| noc | major | reserve | depth | source | receiver | rect | bytes | iters | seen-issue cyc | seen-sent cyc | sent reqs | recv polls |
|---:|---|---:|---:|---|---|---|---:|---:|---|---|---:|---:|
| 0 | x | 1 | 1 | `1,2` | `2,3` | `2,3->4,5` | 16384 | 8 | min=438 avg=443.500 med=443.500 max=449 | min=29 avg=34.500 med=34.500 max=40 | 8 | 9083 |
| 0 | x | 1 | 1 | `1,2` | `3,3` | `2,3->4,5` | 16384 | 8 | min=441 avg=445.250 med=444.000 max=451 | min=32 avg=36.250 med=35.000 max=42 | 8 | 9128 |
| 0 | x | 1 | 1 | `1,2` | `4,3` | `2,3->4,5` | 16384 | 8 | min=453 avg=455.125 med=454.500 max=461 | min=44 avg=46.125 med=45.500 max=52 | 8 | 9086 |
| 0 | x | 1 | 1 | `1,2` | `2,4` | `2,3->4,5` | 16384 | 8 | min=447 avg=450.750 med=449.000 max=459 | min=38 avg=41.750 med=40.000 max=50 | 8 | 9099 |
| 0 | x | 1 | 1 | `1,2` | `3,4` | `2,3->4,5` | 16384 | 8 | min=455 avg=457.500 med=456.000 max=464 | min=46 avg=48.500 med=47.000 max=55 | 8 | 9126 |
| 0 | x | 1 | 1 | `1,2` | `4,4` | `2,3->4,5` | 16384 | 8 | min=459 avg=462.625 med=462.000 max=468 | min=50 avg=53.625 med=53.000 max=59 | 8 | 9074 |
| 0 | x | 1 | 1 | `1,2` | `2,5` | `2,3->4,5` | 16384 | 8 | min=456 avg=461.500 med=462.000 max=466 | min=47 avg=52.500 med=53.000 max=57 | 8 | 9128 |
| 0 | x | 1 | 1 | `1,2` | `3,5` | `2,3->4,5` | 16384 | 8 | min=463 avg=466.625 med=467.500 max=469 | min=54 avg=57.625 med=58.500 max=60 | 8 | 9099 |
| 0 | x | 1 | 1 | `1,2` | `4,5` | `2,3->4,5` | 16384 | 8 | min=466 avg=469.375 med=469.000 max=475 | min=57 avg=60.375 med=60.000 max=66 | 8 | 9082 |

| noc | major | reserve | depth | source | receiver | rect | bytes | iters | seen-issue cyc | seen-sent cyc | sent reqs | recv polls |
|---:|---|---:|---:|---|---|---|---:|---:|---|---|---:|---:|
| 0 | x | 1 | 2 | `1,2` | `2,3` | `2,3->4,5` | 16384 | 8 | min=705 avg=709.875 med=710.000 max=715 | min=29 avg=36.375 med=36.500 max=41 | 16 | 9294 |
| 0 | x | 1 | 2 | `1,2` | `3,3` | `2,3->4,5` | 16384 | 8 | min=711 avg=714.125 med=715.000 max=716 | min=31 avg=40.625 med=42.500 max=44 | 16 | 9254 |
| 0 | x | 1 | 2 | `1,2` | `4,3` | `2,3->4,5` | 16384 | 8 | min=718 avg=723.375 med=723.500 max=729 | min=46 avg=49.875 med=49.500 max=55 | 16 | 9281 |
| 0 | x | 1 | 2 | `1,2` | `2,4` | `2,3->4,5` | 16384 | 8 | min=716 avg=720.250 med=720.000 max=724 | min=36 avg=46.750 med=48.000 max=52 | 16 | 9309 |
| 0 | x | 1 | 2 | `1,2` | `3,4` | `2,3->4,5` | 16384 | 8 | min=718 avg=722.125 med=722.500 max=725 | min=45 avg=48.625 med=48.500 max=52 | 16 | 9265 |
| 0 | x | 1 | 2 | `1,2` | `4,4` | `2,3->4,5` | 16384 | 8 | min=721 avg=726.750 med=727.000 max=730 | min=46 avg=53.250 med=54.500 max=58 | 16 | 9268 |
| 0 | x | 1 | 2 | `1,2` | `2,5` | `2,3->4,5` | 16384 | 8 | min=727 avg=729.750 med=729.000 max=734 | min=49 avg=56.250 med=56.000 max=62 | 16 | 9294 |
| 0 | x | 1 | 2 | `1,2` | `3,5` | `2,3->4,5` | 16384 | 8 | min=728 avg=731.750 med=733.000 max=734 | min=50 avg=58.250 med=59.000 max=62 | 16 | 9280 |
| 0 | x | 1 | 2 | `1,2` | `4,5` | `2,3->4,5` | 16384 | 8 | min=731 avg=736.750 med=737.500 max=742 | min=53 avg=63.250 med=65.500 max=70 | 16 | 9296 |

| noc | major | reserve | depth | source | receiver | rect | bytes | iters | seen-issue cyc | seen-sent cyc | sent reqs | recv polls |
|---:|---|---:|---:|---|---|---|---:|---:|---|---|---:|---:|
| 0 | x | 1 | 4 | `1,2` | `2,3` | `2,3->4,5` | 16384 | 8 | min=1236 avg=1243.250 med=1244.500 max=1249 | min=28 avg=33.125 med=32.500 max=39 | 32 | 9701 |
| 0 | x | 1 | 4 | `1,2` | `3,3` | `2,3->4,5` | 16384 | 8 | min=1243 avg=1247.250 med=1246.500 max=1256 | min=32 avg=37.125 med=37.500 max=41 | 32 | 9714 |
| 0 | x | 1 | 4 | `1,2` | `4,3` | `2,3->4,5` | 16384 | 8 | min=1248 avg=1256.000 med=1257.500 max=1259 | min=42 avg=45.875 med=44.000 max=53 | 32 | 9672 |
| 0 | x | 1 | 4 | `1,2` | `2,4` | `2,3->4,5` | 16384 | 8 | min=1249 avg=1254.625 med=1254.500 max=1260 | min=37 avg=44.500 med=44.500 max=52 | 32 | 9701 |
| 0 | x | 1 | 4 | `1,2` | `3,4` | `2,3->4,5` | 16384 | 8 | min=1254 avg=1257.750 med=1259.500 max=1261 | min=40 avg=47.625 med=46.500 max=55 | 32 | 9671 |
| 0 | x | 1 | 4 | `1,2` | `4,4` | `2,3->4,5` | 16384 | 8 | min=1256 avg=1262.000 med=1261.500 max=1268 | min=47 avg=51.875 med=51.500 max=56 | 32 | 9671 |
| 0 | x | 1 | 4 | `1,2` | `2,5` | `2,3->4,5` | 16384 | 8 | min=1256 avg=1261.625 med=1259.500 max=1271 | min=45 avg=51.500 med=51.000 max=60 | 32 | 9714 |
| 0 | x | 1 | 4 | `1,2` | `3,5` | `2,3->4,5` | 16384 | 8 | min=1259 avg=1266.000 med=1268.000 max=1271 | min=50 avg=55.875 med=55.000 max=62 | 32 | 9674 |
| 0 | x | 1 | 4 | `1,2` | `4,5` | `2,3->4,5` | 16384 | 8 | min=1263 avg=1271.250 med=1272.000 max=1277 | min=56 avg=61.125 med=59.500 max=70 | 32 | 9670 |

| noc | major | reserve | depth | source | receiver | rect | bytes | iters | seen-issue cyc | seen-sent cyc | sent reqs | recv polls |
|---:|---|---:|---:|---|---|---|---:|---:|---|---|---:|---:|
| 0 | y | 1 | 1 | `1,2` | `2,3` | `2,3->4,5` | 64 | 8 | min=175 avg=180.375 med=181.000 max=184 | min=110 avg=115.375 med=116.000 max=119 | 8 | 8847 |
| 0 | y | 1 | 1 | `1,2` | `3,3` | `2,3->4,5` | 64 | 8 | min=180 avg=181.875 med=181.000 max=187 | min=115 avg=116.875 med=116.000 max=122 | 8 | 8875 |
| 0 | y | 1 | 1 | `1,2` | `4,3` | `2,3->4,5` | 64 | 8 | min=188 avg=191.500 med=191.500 max=195 | min=123 avg=126.500 med=126.500 max=130 | 8 | 8831 |
| 0 | y | 1 | 1 | `1,2` | `2,4` | `2,3->4,5` | 64 | 8 | min=184 avg=188.375 med=188.000 max=194 | min=119 avg=123.375 med=123.000 max=129 | 8 | 8861 |
| 0 | y | 1 | 1 | `1,2` | `3,4` | `2,3->4,5` | 64 | 8 | min=188 avg=192.625 med=193.000 max=197 | min=123 avg=127.625 med=128.000 max=132 | 8 | 8793 |
| 0 | y | 1 | 1 | `1,2` | `4,4` | `2,3->4,5` | 64 | 8 | min=192 avg=195.375 med=196.000 max=197 | min=127 avg=130.375 med=131.000 max=132 | 8 | 8859 |
| 0 | y | 1 | 1 | `1,2` | `2,5` | `2,3->4,5` | 64 | 8 | min=194 avg=197.625 med=197.500 max=201 | min=129 avg=132.625 med=132.500 max=136 | 8 | 8848 |
| 0 | y | 1 | 1 | `1,2` | `3,5` | `2,3->4,5` | 64 | 8 | min=197 avg=202.000 med=202.500 max=207 | min=132 avg=137.000 med=137.500 max=142 | 8 | 8844 |
| 0 | y | 1 | 1 | `1,2` | `4,5` | `2,3->4,5` | 64 | 8 | min=201 avg=204.875 med=204.000 max=210 | min=136 avg=139.875 med=139.000 max=145 | 8 | 8890 |

| noc | major | reserve | depth | source | receiver | rect | bytes | iters | seen-issue cyc | seen-sent cyc | sent reqs | recv polls |
|---:|---|---:|---:|---|---|---|---:|---:|---|---|---:|---:|
