| noc | major | reserve | dests | rect | packet B | iters | depth | source B/cyc | delivered B/cyc | req/cyc | avg first seen cyc | avg last seen cyc | bad counter | max recv polls |
|---:|---|---:|---:|---|---:|---:|---:|---:|---:|---:|---:|---:|---:|---:|
| 0 | x | 1 | 1 | `2,4->2,4` | 64 | 32 | 1 | 0.672 | 0.664 | 0.01050 | 102.0 | 3086.0 | 0 | 189 |
| 0 | x | 1 | 1 | `2,4->2,4` | 64 | 32 | 4 | 1.140 | 1.137 | 0.01781 | 197.0 | 7205.0 | 0 | 559 |
| 0 | x | 1 | 1 | `2,4->2,4` | 1024 | 32 | 1 | 8.585 | 8.522 | 0.00838 | 120.0 | 3845.0 | 0 | 257 |
| 0 | x | 1 | 1 | `2,4->2,4` | 1024 | 32 | 4 | 17.367 | 17.319 | 0.01696 | 215.0 | 7568.0 | 0 | 591 |
| 0 | x | 1 | 1 | `2,4->2,4` | 16384 | 32 | 1 | 44.609 | 44.522 | 0.00272 | 360.0 | 11776.0 | 0 | 971 |
| 0 | x | 1 | 1 | `2,4->2,4` | 16384 | 32 | 4 | 56.074 | 56.026 | 0.00342 | 1153.0 | 37432.0 | 0 | 3287 |
| 0 | x | 1 | 2 | `2,4->3,4` | 64 | 32 | 1 | 0.671 | 1.320 | 0.01049 | 114.5 | 3099.0 | 0 | 188 |
| 0 | x | 1 | 2 | `2,4->3,4` | 64 | 32 | 4 | 1.140 | 2.273 | 0.01782 | 198.5 | 7205.0 | 0 | 559 |
| 0 | x | 1 | 2 | `2,4->3,4` | 1024 | 32 | 1 | 7.569 | 15.035 | 0.00739 | 136.0 | 4354.5 | 0 | 301 |
| 0 | x | 1 | 2 | `2,4->3,4` | 1024 | 32 | 4 | 17.306 | 34.479 | 0.01690 | 231.0 | 7603.0 | 0 | 597 |
| 0 | x | 1 | 2 | `2,4->3,4` | 16384 | 32 | 1 | 42.771 | 85.326 | 0.00261 | 380.0 | 12286.0 | 0 | 1017 |
| 0 | x | 1 | 2 | `2,4->3,4` | 16384 | 32 | 4 | 55.274 | 110.446 | 0.00337 | 1170.0 | 37974.0 | 0 | 3338 |
| 0 | x | 1 | 4 | `2,4->5,4` | 64 | 32 | 1 | 0.672 | 2.607 | 0.01050 | 151.2 | 3133.0 | 0 | 191 |
| 0 | x | 1 | 4 | `2,4->5,4` | 64 | 32 | 4 | 1.025 | 4.084 | 0.01602 | 239.2 | 8017.0 | 0 | 629 |
| 0 | x | 1 | 4 | `2,4->5,4` | 1024 | 32 | 1 | 6.121 | 24.336 | 0.00598 | 165.5 | 5382.5 | 0 | 394 |
| 0 | x | 1 | 4 | `2,4->5,4` | 1024 | 32 | 4 | 15.271 | 60.773 | 0.01491 | 262.0 | 8619.2 | 0 | 687 |
| 0 | x | 1 | 4 | `2,4->5,4` | 16384 | 32 | 1 | 40.056 | 159.613 | 0.00244 | 414.8 | 13125.0 | 0 | 1092 |
| 0 | x | 1 | 4 | `2,4->5,4` | 16384 | 32 | 4 | 53.431 | 213.494 | 0.00326 | 1210.0 | 39284.2 | 0 | 3452 |
