| noc | K | packet B | packets | target | sender order | aggregate B/cyc | aggregate req/cyc | per-stream B/cyc | spread | interpretation | bad counters | target missing | target polls |
|---:|---:|---:|---:|---|---|---:|---:|---|---:|---|---:|---:|---:|
| 0 | 2 | 4096 | 128 | `14,4` | `12,4` `13,4` | 61.134 | 0.01493 | 30.567 30.669 | 0.003 | roughly equal | 0 | 0 | 6 |
| 0 | 2 | 16384 | 128 | `14,4` | `12,4` `13,4` | 62.783 | 0.00383 | 31.392 31.508 | 0.004 | roughly equal | 0 | 0 | 18 |
| 0 | 3 | 4096 | 128 | `14,4` | `11,4` `12,4` `13,4` | 61.454 | 0.01500 | 20.545 20.488 30.685 | 0.427 | near target favored | 0 | 0 | 7 |
| 0 | 3 | 16384 | 128 | `14,4` | `11,4` `12,4` `13,4` | 62.860 | 0.00384 | 20.955 21.006 31.505 | 0.431 | near target favored | 0 | 0 | 24 |
| 0 | 4 | 4096 | 128 | `14,4` | `10,4` `11,4` `12,4` `13,4` | 61.652 | 0.01505 | 15.413 15.436 20.539 30.685 | 0.744 | near target favored | 0 | 0 | 10 |
| 0 | 4 | 16384 | 128 | `14,4` | `10,4` `11,4` `12,4` `13,4` | 63.062 | 0.00385 | 15.766 15.795 21.020 31.611 | 0.753 | near target favored | 0 | 0 | 27 |
| 0 | 6 | 4096 | 128 | `14,4` | `6,4` `7,4` `10,4` `11,4` `12,4` `13,4` | 61.828 | 0.01509 | 10.306 10.314 12.347 15.447 20.545 30.685 | 1.227 | near target favored | 0 | 0 | 19 |
| 0 | 6 | 16384 | 128 | `14,4` | `6,4` `7,4` `10,4` `11,4` `12,4` `13,4` | 63.170 | 0.00386 | 10.529 10.541 12.655 15.817 21.093 31.611 | 1.237 | near target favored | 0 | 0 | 97 |
| 0 | 8 | 4096 | 128 | `14,4` | `4,4` `5,4` `6,4` `7,4` `10,4` `11,4` `12,4` `13,4` | 61.909 | 0.01511 | 7.739 7.747 8.848 10.315 12.368 15.439 20.546 30.683 | 1.615 | near target favored | 0 | 0 | 75 |
| 0 | 8 | 16384 | 128 | `14,4` | `4,4` `5,4` `6,4` `7,4` `10,4` `11,4` `12,4` `13,4` | 63.098 | 0.00385 | 7.887 7.895 9.024 10.521 12.623 15.766 21.006 31.505 | 1.626 | near target favored | 0 | 0 | 295 |
| 1 | 2 | 4096 | 128 | `1,4` | `2,4` `3,4` | 61.045 | 0.01490 | 30.612 30.526 | 0.003 | roughly equal | 0 | 0 | 5 |
| 1 | 2 | 16384 | 128 | `1,4` | `2,4` `3,4` | 62.811 | 0.00383 | 31.520 31.407 | 0.004 | roughly equal | 0 | 0 | 17 |
| 1 | 3 | 4096 | 128 | `1,4` | `2,4` `3,4` `4,4` | 61.385 | 0.01499 | 30.628 20.514 20.462 | 0.426 | far source favored | 0 | 0 | 6 |
| 1 | 3 | 16384 | 128 | `1,4` | `2,4` `3,4` `4,4` | 62.901 | 0.00384 | 31.516 21.021 20.967 | 0.431 | far source favored | 0 | 0 | 23 |
| 1 | 4 | 4096 | 128 | `1,4` | `2,4` `3,4` `4,4` `5,4` | 61.639 | 0.01505 | 30.657 20.545 15.436 15.414 | 0.743 | far source favored | 0 | 0 | 9 |
| 1 | 4 | 16384 | 128 | `1,4` | `2,4` `3,4` `4,4` `5,4` | 63.013 | 0.00385 | 31.520 21.051 15.784 15.754 | 0.750 | far source favored | 0 | 0 | 35 |
| 1 | 6 | 4096 | 128 | `1,4` | `2,4` `3,4` `4,4` `5,4` `6,4` `7,4` | 61.840 | 0.01510 | 30.642 20.539 15.432 12.363 10.315 10.308 | 1.225 | far source favored | 0 | 0 | 24 |
| 1 | 6 | 16384 | 128 | `1,4` | `2,4` `3,4` `4,4` `5,4` `6,4` `7,4` | 63.169 | 0.00386 | 31.611 21.088 15.806 12.654 10.541 10.528 | 1.237 | far source favored | 0 | 0 | 96 |
| 1 | 8 | 4096 | 128 | `1,4` | `2,4` `3,4` `4,4` `5,4` `6,4` `7,4` `10,4` `11,4` | 61.884 | 0.01511 | 30.628 20.526 15.425 12.359 10.311 8.839 7.744 7.736 | 1.613 | far source favored | 0 | 0 | 56 |
| 1 | 8 | 16384 | 128 | `1,4` | `2,4` `3,4` `4,4` `5,4` `6,4` `7,4` `10,4` `11,4` | 63.182 | 0.00386 | 31.558 21.080 15.799 12.643 10.536 9.035 7.906 7.898 | 1.625 | far source favored | 0 | 0 | 295 |

appended /home/boop/tenstorrent/blackhole-py/microbenching/docs/noc/noc-arbitration.md
