| noc | K | packet B | packets | target | sender order | aggregate B/cyc | aggregate req/cyc | per-stream B/cyc | spread | interpretation | bad counters | target missing | target polls |
|---:|---:|---:|---:|---|---|---:|---:|---|---:|---|---:|---:|---:|
| 0 | 2 | 16384 | 256 | `14,4` | `12,4` `13,4` | 62.921 | 0.00384 | 31.461 31.519 | 0.002 | roughly equal | 0 | 0 | 18 |
| 0 | 3 | 16384 | 256 | `14,4` | `11,4` `12,4` `13,4` | 63.064 | 0.00385 | 21.022 21.047 31.599 | 0.431 | near target favored | 0 | 0 | 24 |
| 0 | 4 | 16384 | 256 | `14,4` | `10,4` `11,4` `12,4` `13,4` | 63.070 | 0.00385 | 15.768 15.782 21.053 31.550 | 0.750 | near target favored | 0 | 0 | 36 |
| 0 | 5 | 16384 | 256 | `14,4` | `7,4` `10,4` `11,4` `12,4` `13,4` | 63.059 | 0.00385 | 12.622 12.612 15.781 21.040 31.510 | 1.010 | near target favored | 0 | 0 | 58 |
| 0 | 6 | 16384 | 256 | `14,4` | `6,4` `7,4` `10,4` `11,4` `12,4` `13,4` | 63.208 | 0.00386 | 10.542 10.535 12.659 15.810 21.098 31.645 | 1.238 | near target favored | 0 | 0 | 97 |
| 0 | 7 | 16384 | 256 | `14,4` | `5,4` `6,4` `7,4` `10,4` `11,4` `12,4` `13,4` | 63.172 | 0.00386 | 9.025 9.030 10.538 12.644 15.796 21.080 31.634 | 1.442 | near target favored | 0 | 0 | 168 |
| 0 | 8 | 16384 | 256 | `14,4` | `4,4` `5,4` `6,4` `7,4` `10,4` `11,4` `12,4` `13,4` | 63.220 | 0.00386 | 7.907 7.903 9.040 10.544 12.653 15.803 21.044 31.611 | 1.628 | near target favored | 0 | 0 | 291 |
| 1 | 2 | 16384 | 256 | `1,4` | `2,4` `3,4` | 62.913 | 0.00384 | 31.517 31.457 | 0.002 | roughly equal | 0 | 0 | 17 |
| 1 | 3 | 16384 | 256 | `1,4` | `2,4` `3,4` `4,4` | 62.957 | 0.00384 | 31.518 21.011 20.986 | 0.430 | far source favored | 0 | 0 | 23 |
| 1 | 4 | 16384 | 256 | `1,4` | `2,4` `3,4` `4,4` `5,4` | 63.132 | 0.00385 | 31.616 21.079 15.798 15.783 | 0.752 | far source favored | 0 | 0 | 35 |
| 1 | 5 | 16384 | 256 | `1,4` | `2,4` `3,4` `4,4` `5,4` `6,4` | 63.141 | 0.00385 | 31.605 21.074 15.806 12.637 12.628 | 1.012 | far source favored | 0 | 0 | 57 |
| 1 | 6 | 16384 | 256 | `1,4` | `2,4` `3,4` `4,4` `5,4` `6,4` `7,4` | 63.235 | 0.00386 | 31.620 21.095 15.816 12.662 10.545 10.539 | 1.237 | far source favored | 0 | 0 | 96 |
| 1 | 7 | 16384 | 256 | `1,4` | `2,4` `3,4` `4,4` `5,4` `6,4` `7,4` `10,4` | 63.115 | 0.00385 | 31.521 21.044 15.781 12.637 10.527 9.021 9.016 | 1.438 | far source favored | 0 | 0 | 168 |
| 1 | 8 | 16384 | 256 | `1,4` | `2,4` `3,4` `4,4` `5,4` `6,4` `7,4` `10,4` `11,4` | 63.156 | 0.00385 | 31.582 21.061 15.801 12.644 10.535 9.027 7.898 7.895 | 1.627 | far source favored | 0 | 0 | 295 |

appended microbenching/docs/noc/noc-arbitration.md
