| case | repeat | noc | major | path reserve | stream | rect | dests | packet B | iters | chunks | source payload B/cyc | delivered payload B/cyc | seen-issue cyc | bad counter | stale data | max polls |
|---|---:|---:|---|---|---|---|---:|---:|---:|---:|---:|---:|---|---:|---:|---:|
| disjoint | 0 | 0 | x | both | all | - | - | 16384 | 16 | 1 | - | 819.520 | - | - | - | - |
| disjoint | 0 | 0 | x | both | a | `2,3->5,6` | 16 | 16384 | 16 | 1 | 29.114 | 456.747 | min=667 avg=726.6 med=697.0 max=1216 | 0 | 0 | 646 |
| disjoint | 0 | 0 | x | both | b | `11,3->14,6` | 16 | 16384 | 16 | 1 | 27.828 | 434.418 | min=715 avg=801.5 med=756.0 max=1428 | 0 | 0 | 670 |
| disjoint | 0 | 0 | x | both | all | - | - | 16384 | 16 | 4 | - | 1103.039 | - | - | - | - |
| disjoint | 0 | 0 | x | both | a | `2,3->5,6` | 16 | 16384 | 16 | 4 | 36.408 | 578.944 | min=1849 avg=1916.1 med=1891.0 max=2092 | 0 | 0 | 2432 |
| disjoint | 0 | 0 | x | both | b | `11,3->14,6` | 16 | 16384 | 16 | 4 | 35.407 | 562.070 | min=1926 avg=1998.7 med=1987.5 max=2203 | 0 | 0 | 2490 |
| disjoint | 0 | 0 | y | both | all | - | - | 16384 | 16 | 1 | - | 816.807 | - | - | - | - |
| disjoint | 0 | 0 | y | both | a | `2,3->5,6` | 16 | 16384 | 16 | 1 | 29.140 | 456.796 | min=667 avg=724.5 med=695.0 max=1208 | 0 | 0 | 649 |
| disjoint | 0 | 0 | y | both | b | `11,3->14,6` | 16 | 16384 | 16 | 1 | 27.758 | 433.341 | min=719 avg=799.1 med=759.0 max=1393 | 0 | 0 | 675 |
| disjoint | 0 | 0 | y | both | all | - | - | 16384 | 16 | 4 | - | 1102.241 | - | - | - | - |
| disjoint | 0 | 0 | y | both | a | `2,3->5,6` | 16 | 16384 | 16 | 4 | 36.932 | 587.150 | min=1841 avg=1891.6 med=1884.0 max=2040 | 0 | 0 | 2393 |
| disjoint | 0 | 0 | y | both | b | `11,3->14,6` | 16 | 16384 | 16 | 4 | 35.379 | 561.750 | min=1915 avg=2002.9 med=1992.0 max=2221 | 0 | 0 | 2491 |
| disjoint | 0 | 1 | x | both | all | - | - | 16384 | 16 | 1 | - | 195.366 | - | - | - | - |
| disjoint | 0 | 1 | x | both | a | `5,6->2,3` | 16 | 16384 | 16 | 1 | 6.197 | 97.683 | min=1683 avg=4752.4 med=1723.0 max=26188 | 0 | 0 | 3696 |
| disjoint | 0 | 1 | x | both | b | `14,6->11,3` | 16 | 16384 | 16 | 1 | 14.331 | 221.405 | min=1374 avg=1765.5 med=1733.5 max=2200 | 0 | 0 | 1515 |
| disjoint | 0 | 1 | x | both | all | - | - | 16384 | 16 | 4 | - | 253.100 | - | - | - | - |
| disjoint | 0 | 1 | x | both | a | `5,6->2,3` | 16 | 16384 | 16 | 4 | 19.390 | 306.612 | min=3457 avg=3951.6 med=3828.5 max=4814 | 0 | 0 | 4750 |
| disjoint | 0 | 1 | x | both | b | `14,6->11,3` | 16 | 16384 | 16 | 4 | 7.983 | 127.098 | min=3793 avg=8796.9 med=3839.5 max=82028 | 0 | 0 | 11717 |
| disjoint | 0 | 1 | y | both | all | - | - | 16384 | 16 | 1 | - | 155.737 | - | - | - | - |
| disjoint | 0 | 1 | y | both | a | `5,6->2,3` | 16 | 16384 | 16 | 1 | 4.926 | 77.868 | min=1678 avg=6116.8 med=1727.0 max=36701 | 0 | 0 | 4686 |
| disjoint | 0 | 1 | y | both | b | `14,6->11,3` | 16 | 16384 | 16 | 1 | 14.679 | 226.646 | min=1371 avg=1711.5 med=1731.0 max=1767 | 0 | 0 | 1472 |
| disjoint | 0 | 1 | y | both | all | - | - | 16384 | 16 | 4 | - | 205.255 | - | - | - | - |
| disjoint | 0 | 1 | y | both | a | `5,6->2,3` | 16 | 16384 | 16 | 4 | 19.913 | 314.764 | min=3481 avg=3860.3 med=3821.0 max=4427 | 0 | 0 | 4624 |
| disjoint | 0 | 1 | y | both | b | `14,6->11,3` | 16 | 16384 | 16 | 4 | 6.463 | 102.997 | min=3788 avg=10724.6 med=3834.0 max=113136 | 0 | 0 | 14508 |
| adjacent | 0 | 0 | x | both | all | - | - | 16384 | 16 | 1 | - | 505.490 | - | - | - | - |
| adjacent | 0 | 0 | x | both | a | `2,3->5,6` | 16 | 16384 | 16 | 1 | 24.156 | 380.091 | min=667 avg=862.5 med=865.0 max=1201 | 0 | 0 | 815 |
| adjacent | 0 | 0 | x | both | b | `6,3->11,6` | 16 | 16384 | 16 | 1 | 16.860 | 261.849 | min=989 avg=1382.3 med=1337.5 max=1810 | 0 | 0 | 1349 |
| adjacent | 0 | 0 | x | both | all | - | - | 16384 | 16 | 4 | - | 619.875 | - | - | - | - |
| adjacent | 0 | 0 | x | both | a | `2,3->5,6` | 16 | 16384 | 16 | 4 | 28.444 | 452.900 | min=2110 avg=2436.9 med=2399.0 max=2861 | 0 | 0 | 3157 |
| adjacent | 0 | 0 | x | both | b | `6,3->11,6` | 16 | 16384 | 16 | 4 | 19.754 | 313.318 | min=2946 avg=3729.3 med=3727.5 max=4949 | 0 | 0 | 4739 |
| adjacent | 0 | 0 | y | both | all | - | - | 16384 | 16 | 1 | - | 494.495 | - | - | - | - |
| adjacent | 0 | 0 | y | both | a | `2,3->5,6` | 16 | 16384 | 16 | 1 | 26.246 | 411.247 | min=667 avg=789.9 med=716.5 max=1215 | 0 | 0 | 741 |
| adjacent | 0 | 0 | y | both | b | `6,3->11,6` | 16 | 16384 | 16 | 1 | 16.479 | 256.109 | min=970 avg=1383.1 med=1360.5 max=1830 | 0 | 0 | 1388 |
| adjacent | 0 | 0 | y | both | all | - | - | 16384 | 16 | 4 | - | 652.950 | - | - | - | - |
| adjacent | 0 | 0 | y | both | a | `2,3->5,6` | 16 | 16384 | 16 | 4 | 29.189 | 463.561 | min=2104 avg=2420.4 med=2417.0 max=2778 | 0 | 0 | 3079 |
| adjacent | 0 | 0 | y | both | b | `6,3->11,6` | 16 | 16384 | 16 | 4 | 20.827 | 330.189 | min=2933 avg=3528.0 med=3624.0 max=4129 | 0 | 0 | 4484 |
| adjacent | 0 | 1 | x | both | all | - | - | 16384 | 16 | 1 | - | 176.046 | - | - | - | - |
| adjacent | 0 | 1 | x | both | a | `5,6->2,3` | 16 | 16384 | 16 | 1 | 14.325 | 221.417 | min=1348 avg=1752.3 med=1722.5 max=2180 | 0 | 0 | 1529 |
| adjacent | 0 | 1 | x | both | b | `11,6->6,3` | 16 | 16384 | 16 | 1 | 5.645 | 89.074 | min=1570 avg=3404.0 med=1614.5 max=29993 | 0 | 0 | 4164 |
| adjacent | 0 | 1 | x | both | all | - | - | 16384 | 16 | 4 | - | 243.310 | - | - | - | - |
| adjacent | 0 | 1 | x | both | a | `5,6->2,3` | 16 | 16384 | 16 | 4 | 19.752 | 312.239 | min=3459 avg=3888.4 med=3825.0 max=4522 | 0 | 0 | 4658 |
| adjacent | 0 | 1 | x | both | b | `11,6->6,3` | 16 | 16384 | 16 | 4 | 7.672 | 122.163 | min=3667 avg=9034.1 med=3732.5 max=87912 | 0 | 0 | 12309 |
| adjacent | 0 | 1 | y | both | all | - | - | 16384 | 16 | 1 | - | 154.344 | - | - | - | - |
| adjacent | 0 | 1 | y | both | a | `5,6->2,3` | 16 | 16384 | 16 | 1 | 4.881 | 77.172 | min=1341 avg=6177.7 med=1720.0 max=37596 | 0 | 0 | 4729 |
| adjacent | 0 | 1 | y | both | b | `11,6->6,3` | 16 | 16384 | 16 | 1 | 13.777 | 213.201 | min=1573 avg=1692.8 med=1616.5 max=2577 | 0 | 0 | 1687 |
| adjacent | 0 | 1 | y | both | all | - | - | 16384 | 16 | 4 | - | 221.607 | - | - | - | - |
| adjacent | 0 | 1 | y | both | a | `5,6->2,3` | 16 | 16384 | 16 | 4 | 19.577 | 309.537 | min=3449 avg=3945.9 med=3825.0 max=4886 | 0 | 0 | 4699 |
| adjacent | 0 | 1 | y | both | b | `11,6->6,3` | 16 | 16384 | 16 | 4 | 6.982 | 111.237 | min=3674 avg=9878.6 med=3728.0 max=101937 | 0 | 0 | 13527 |
| overlap | 0 | 0 | x | both | all | - | - | 16384 | 16 | 1 | - | 223.989 | - | - | - | - |
| overlap | 0 | 0 | x | both | a | `2,3->5,6` | 16 | 16384 | 16 | 1 | 7.036 | 111.994 | min=660 avg=4259.7 med=695.0 max=29018 | 0 | 0 | 3201 |
| overlap | 0 | 0 | x | both | b | `4,5->7,8` | 16 | 16384 | 16 | 1 | 16.638 | 115.314 | min=1404 avg=6440.9 med=1442.0 max=26987 | 0 | 0 | 2142 |
| overlap | 0 | 0 | x | both | all | - | - | 16384 | 16 | 4 | - | 442.309 | - | - | - | - |
| overlap | 0 | 0 | x | both | a | `2,3->5,6` | 16 | 16384 | 16 | 4 | 13.855 | 221.154 | min=1840 avg=6780.0 med=1874.0 max=49475 | 0 | 0 | 6671 |
| overlap | 0 | 0 | x | both | b | `4,5->7,8` | 16 | 16384 | 16 | 4 | 17.383 | 227.911 | min=3239 avg=5979.3 med=3295.0 max=22791 | 0 | 0 | 5288 |
| overlap | 0 | 0 | y | both | all | - | - | 16384 | 16 | 1 | - | 293.791 | - | - | - | - |
| overlap | 0 | 0 | y | both | a | `2,3->5,6` | 16 | 16384 | 16 | 1 | 9.242 | 146.895 | min=667 avg=3147.5 med=696.0 max=20114 | 0 | 0 | 2398 |
| overlap | 0 | 0 | y | both | b | `4,5->7,8` | 16 | 16384 | 16 | 1 | 16.655 | 152.687 | min=1396 avg=4492.7 med=1441.0 max=18088 | 0 | 0 | 1587 |
| overlap | 0 | 0 | y | both | all | - | - | 16384 | 16 | 4 | - | 442.752 | - | - | - | - |
| overlap | 0 | 0 | y | both | a | `2,3->5,6` | 16 | 16384 | 16 | 4 | 37.109 | 229.973 | min=1834 avg=10439.9 med=1872.0 max=46410 | 0 | 0 | 4536 |
| overlap | 0 | 0 | y | both | b | `4,5->7,8` | 16 | 16384 | 16 | 4 | 14.035 | 223.024 | min=3231 avg=5104.6 med=3292.0 max=31730 | 0 | 0 | 6587 |
| overlap | 0 | 1 | x | both | all | - | - | 16384 | 16 | 1 | - | 200.560 | - | - | - | - |
| overlap | 0 | 1 | x | both | a | `5,6->2,3` | 16 | 16384 | 16 | 1 | 14.362 | 102.098 | min=1352 avg=7577.2 med=1736.0 max=29113 | 0 | 0 | 2435 |
| overlap | 0 | 1 | x | both | b | `7,8->4,5` | 16 | 16384 | 16 | 1 | 6.414 | 101.673 | min=1053 avg=2866.5 med=1117.0 max=29276 | 0 | 0 | 3526 |
| overlap | 0 | 1 | x | both | all | - | - | 16384 | 16 | 4 | - | 327.447 | - | - | - | - |
| overlap | 0 | 1 | x | both | a | `5,6->2,3` | 16 | 16384 | 16 | 4 | 19.556 | 167.511 | min=3446 avg=16368.2 med=3832.5 max=63705 | 0 | 0 | 6178 |
| overlap | 0 | 1 | x | both | b | `7,8->4,5` | 16 | 16384 | 16 | 4 | 10.328 | 164.628 | min=2615 avg=6646.8 med=2686.0 max=65993 | 0 | 0 | 9004 |
| overlap | 0 | 1 | y | both | all | - | - | 16384 | 16 | 1 | - | 234.673 | - | - | - | - |
| overlap | 0 | 1 | y | both | a | `5,6->2,3` | 16 | 16384 | 16 | 1 | 14.325 | 119.837 | min=1348 avg=6157.6 med=1733.0 max=23054 | 0 | 0 | 2056 |
| overlap | 0 | 1 | y | both | b | `7,8->4,5` | 16 | 16384 | 16 | 1 | 7.534 | 119.221 | min=1053 avg=2487.7 med=1117.0 max=23225 | 0 | 0 | 2982 |
| overlap | 0 | 1 | y | both | all | - | - | 16384 | 16 | 4 | - | 239.688 | - | - | - | - |
| overlap | 0 | 1 | y | both | a | `5,6->2,3` | 16 | 16384 | 16 | 4 | 19.725 | 121.861 | min=3447 avg=25116.6 med=3836.0 max=100904 | 0 | 0 | 8520 |
| overlap | 0 | 1 | y | both | b | `7,8->4,5` | 16 | 16384 | 16 | 4 | 7.541 | 120.329 | min=2617 avg=8992.2 med=2692.0 max=103191 | 0 | 0 | 12396 |
| nested | 0 | 0 | x | both | all | - | - | 16384 | 16 | 1 | - | 213.290 | - | - | - | - |
| nested | 0 | 0 | x | both | a | `2,3->5,6` | 16 | 16384 | 16 | 1 | 10.745 | 170.632 | min=661 avg=4180.8 med=707.0 max=16156 | 0 | 0 | 2040 |
| nested | 0 | 0 | x | both | b | `3,4->4,5` | 4 | 16384 | 16 | 1 | 14.369 | 44.635 | min=964 avg=2043.8 med=983.5 max=7978 | 0 | 0 | 1347 |
| nested | 0 | 0 | x | both | all | - | - | 16384 | 16 | 4 | - | 182.793 | - | - | - | - |
| nested | 0 | 0 | x | both | a | `2,3->5,6` | 16 | 16384 | 16 | 4 | 9.155 | 146.235 | min=1835 avg=12670.9 med=1876.0 max=88215 | 0 | 0 | 10181 |
| nested | 0 | 0 | x | both | b | `3,4->4,5` | 4 | 16384 | 16 | 4 | 30.261 | 37.306 | min=3231 avg=77320.2 med=82093.5 max=84680 | 0 | 0 | 6934 |
| nested | 0 | 0 | y | both | all | - | - | 16384 | 16 | 1 | - | 201.556 | - | - | - | - |
