| case | noc | major | source | receiver | rect | raw route | hops | x | y | wraps | bytes | iters | seen-issue cyc | seen-sent cyc | sent reqs | recv polls |
|---|---:|---|---|---|---|---|---:|---:|---:|---:|---:|---:|---|---|---:|---:|
| row | 0 | x | `1,2` | `2,2` | `2,2->14,2` | `1,2->2,2` | 1 | 1 | 0 | 0 | 64 | 16 | min=254 avg=260.438 med=262.000 max=264 | min=225 avg=235.188 med=237.000 max=239 | 16 | 9539 |
| row | 0 | x | `1,2` | `5,2` | `2,2->14,2` | `1,2->5,2` | 4 | 4 | 0 | 0 | 64 | 16 | min=271 avg=277.188 med=279.000 max=281 | min=244 avg=251.938 med=254.000 max=256 | 16 | 9445 |
| row | 0 | x | `1,2` | `14,2` | `2,2->14,2` | `1,2->16,2` | 15 | 15 | 0 | 0 | 64 | 16 | min=380 avg=383.500 med=382.000 max=389 | min=351 avg=358.250 med=357.000 max=364 | 16 | 9378 |
| row | 0 | x | `1,2` | `2,2` | `2,2->14,2` | `1,2->2,2` | 1 | 1 | 0 | 0 | 1024 | 16 | min=269 avg=273.438 med=272.500 max=278 | min=19 avg=23.438 med=22.500 max=28 | 16 | 9820 |
| row | 0 | x | `1,2` | `5,2` | `2,2->14,2` | `1,2->5,2` | 4 | 4 | 0 | 0 | 1024 | 16 | min=286 avg=290.375 med=290.000 max=295 | min=36 avg=40.375 med=40.000 max=45 | 16 | 9788 |
| row | 0 | x | `1,2` | `14,2` | `2,2->14,2` | `1,2->16,2` | 15 | 15 | 0 | 0 | 1024 | 16 | min=395 avg=400.188 med=401.000 max=404 | min=145 avg=150.188 med=151.000 max=154 | 16 | 9736 |
| row | 0 | x | `1,2` | `2,2` | `2,2->14,2` | `1,2->2,2` | 1 | 1 | 0 | 0 | 16384 | 16 | min=515 avg=520.188 med=519.500 max=527 | min=17 avg=25.688 med=27.000 max=31 | 16 | 10165 |
| row | 0 | x | `1,2` | `5,2` | `2,2->14,2` | `1,2->5,2` | 4 | 4 | 0 | 0 | 16384 | 16 | min=534 avg=536.625 med=536.000 max=541 | min=36 avg=42.125 med=42.500 max=51 | 16 | 10138 |
| row | 0 | x | `1,2` | `14,2` | `2,2->14,2` | `1,2->16,2` | 15 | 15 | 0 | 0 | 16384 | 16 | min=642 avg=647.938 med=648.000 max=655 | min=146 avg=153.438 med=153.000 max=162 | 16 | 10068 |
| row | 0 | y | `1,2` | `2,2` | `2,2->14,2` | `1,2->2,2` | 1 | 1 | 0 | 0 | 64 | 16 | min=254 avg=256.438 med=256.000 max=263 | min=229 avg=231.438 med=231.000 max=238 | 16 | 9523 |
| row | 0 | y | `1,2` | `5,2` | `2,2->14,2` | `1,2->5,2` | 4 | 4 | 0 | 0 | 64 | 16 | min=271 avg=276.875 med=278.500 max=281 | min=246 avg=251.875 med=253.500 max=256 | 16 | 9481 |
| row | 0 | y | `1,2` | `14,2` | `2,2->14,2` | `1,2->16,2` | 15 | 15 | 0 | 0 | 64 | 16 | min=380 avg=386.312 med=387.000 max=390 | min=355 avg=361.312 med=362.000 max=365 | 16 | 9418 |
| row | 0 | y | `1,2` | `2,2` | `2,2->14,2` | `1,2->2,2` | 1 | 1 | 0 | 0 | 1024 | 16 | min=269 avg=273.062 med=272.000 max=279 | min=19 avg=23.062 med=22.000 max=29 | 16 | 9847 |
| row | 0 | y | `1,2` | `5,2` | `2,2->14,2` | `1,2->5,2` | 4 | 4 | 0 | 0 | 1024 | 16 | min=286 avg=290.562 med=290.500 max=295 | min=36 avg=40.562 med=40.500 max=45 | 16 | 9769 |
| row | 0 | y | `1,2` | `14,2` | `2,2->14,2` | `1,2->16,2` | 15 | 15 | 0 | 0 | 1024 | 16 | min=398 avg=401.000 med=401.000 max=404 | min=148 avg=151.000 med=151.000 max=154 | 16 | 9726 |
| row | 0 | y | `1,2` | `2,2` | `2,2->14,2` | `1,2->2,2` | 1 | 1 | 0 | 0 | 16384 | 16 | min=515 avg=520.438 med=520.500 max=529 | min=17 avg=25.438 med=25.500 max=32 | 16 | 10157 |
| row | 0 | y | `1,2` | `5,2` | `2,2->14,2` | `1,2->5,2` | 4 | 4 | 0 | 0 | 16384 | 16 | min=535 avg=539.000 med=538.500 max=544 | min=37 avg=44.000 med=45.000 max=53 | 16 | 10100 |
| row | 0 | y | `1,2` | `14,2` | `2,2->14,2` | `1,2->16,2` | 15 | 15 | 0 | 0 | 16384 | 16 | min=641 avg=647.688 med=647.500 max=653 | min=144 avg=152.688 med=151.000 max=162 | 16 | 10049 |
| row | 1 | x | `1,2` | `2,2` | `14,2->2,2` | `15,9->14,9` | 16 | 16 | 0 | 1 | 64 | 16 | min=403 avg=408.375 med=410.000 max=412 | min=378 avg=383.375 med=385.000 max=387 | 16 | 9522 |
| row | 1 | x | `1,2` | `5,2` | `14,2->2,2` | `15,9->11,9` | 13 | 13 | 0 | 1 | 64 | 16 | min=367 avg=371.250 med=371.500 max=374 | min=342 avg=346.250 med=346.500 max=349 | 16 | 9460 |
| row | 1 | x | `1,2` | `14,2` | `14,2->2,2` | `15,9->0,9` | 2 | 2 | 0 | 1 | 64 | 16 | min=277 avg=280.500 med=280.000 max=286 | min=252 avg=255.500 med=255.000 max=261 | 16 | 9413 |
| row | 1 | x | `1,2` | `2,2` | `14,2->2,2` | `15,9->14,9` | 16 | 16 | 0 | 1 | 1024 | 16 | min=418 avg=422.688 med=422.500 max=428 | min=152 avg=156.688 med=156.500 max=162 | 16 | 9868 |
| row | 1 | x | `1,2` | `5,2` | `14,2->2,2` | `15,9->11,9` | 13 | 13 | 0 | 1 | 1024 | 16 | min=381 avg=386.938 med=386.500 max=391 | min=115 avg=120.938 med=120.500 max=125 | 16 | 9748 |
| row | 1 | x | `1,2` | `14,2` | `14,2->2,2` | `15,9->0,9` | 2 | 2 | 0 | 1 | 1024 | 16 | min=292 avg=297.625 med=298.000 max=302 | min=26 avg=31.625 med=32.000 max=36 | 16 | 9659 |
| row | 1 | x | `1,2` | `2,2` | `14,2->2,2` | `15,9->14,9` | 16 | 16 | 0 | 1 | 16384 | 16 | min=667 avg=671.312 med=670.000 max=677 | min=161 avg=165.312 med=164.000 max=171 | 16 | 10215 |
| row | 1 | x | `1,2` | `5,2` | `14,2->2,2` | `15,9->11,9` | 13 | 13 | 0 | 1 | 16384 | 16 | min=627 avg=632.438 med=632.000 max=641 | min=121 avg=126.438 med=126.000 max=135 | 16 | 10130 |
| row | 1 | x | `1,2` | `14,2` | `14,2->2,2` | `15,9->0,9` | 2 | 2 | 0 | 1 | 16384 | 16 | min=539 avg=543.500 med=544.000 max=548 | min=33 avg=37.500 med=38.000 max=42 | 16 | 10040 |
| row | 1 | y | `1,2` | `2,2` | `14,2->2,2` | `15,9->14,9` | 16 | 16 | 0 | 1 | 64 | 16 | min=403 avg=408.875 med=410.500 max=413 | min=378 avg=383.875 med=385.500 max=388 | 16 | 9552 |
| row | 1 | y | `1,2` | `5,2` | `14,2->2,2` | `15,9->11,9` | 13 | 13 | 0 | 1 | 64 | 16 | min=366 avg=366.375 med=366.000 max=372 | min=341 avg=341.375 med=341.000 max=347 | 16 | 9472 |
