| case | group | noc | major | source | receiver | rect | raw route | hops | bytes | iters | seen-issue cyc | seen-sent cyc | sent reqs | recv polls |
|---|---|---:|---|---|---|---|---|---:|---:|---:|---|---|---:|---:|
| solo_a | a | 0 | x | `1,2` | `2,3` | `2,3->4,5` | `1,2->2,3` | 2 | 16384 | 4 | min=401 avg=402.500 med=402.500 max=404 | min=31 avg=32.500 med=32.500 max=34 | 4 | 2876 |
| solo_a | a | 0 | x | `1,2` | `3,3` | `2,3->4,5` | `1,2->3,3` | 3 | 16384 | 4 | min=405 avg=408.500 med=409.000 max=411 | min=35 avg=38.500 med=39.000 max=41 | 4 | 2869 |
| solo_a | a | 0 | x | `1,2` | `4,3` | `2,3->4,5` | `1,2->4,3` | 4 | 16384 | 4 | min=416 avg=418.000 med=418.000 max=420 | min=46 avg=48.000 med=48.000 max=50 | 4 | 2862 |
| solo_a | a | 0 | x | `1,2` | `2,4` | `2,3->4,5` | `1,2->2,4` | 3 | 16384 | 4 | min=410 avg=411.000 med=411.000 max=412 | min=40 avg=41.000 med=41.000 max=42 | 4 | 2849 |
| solo_a | a | 0 | x | `1,2` | `3,4` | `2,3->4,5` | `1,2->3,4` | 4 | 16384 | 4 | min=413 avg=418.250 med=418.000 max=424 | min=43 avg=48.250 med=48.000 max=54 | 4 | 2870 |
| solo_a | a | 0 | x | `1,2` | `4,4` | `2,3->4,5` | `1,2->4,4` | 5 | 16384 | 4 | min=417 avg=421.250 med=421.000 max=426 | min=47 avg=51.250 med=51.000 max=56 | 4 | 2871 |
| solo_a | a | 0 | x | `1,2` | `2,5` | `2,3->4,5` | `1,2->2,5` | 4 | 16384 | 4 | min=418 avg=421.250 med=420.000 max=427 | min=48 avg=51.250 med=50.000 max=57 | 4 | 2878 |
| solo_a | a | 0 | x | `1,2` | `3,5` | `2,3->4,5` | `1,2->3,5` | 5 | 16384 | 4 | min=423 avg=424.500 med=425.000 max=425 | min=53 avg=54.500 med=55.000 max=55 | 4 | 2869 |
| solo_a | a | 0 | x | `1,2` | `4,5` | `2,3->4,5` | `1,2->4,5` | 6 | 16384 | 4 | min=427 avg=431.750 med=432.000 max=436 | min=57 avg=61.750 med=62.000 max=66 | 4 | 2856 |
| solo_a | a | 0 | y | `1,2` | `2,3` | `2,3->4,5` | `1,2->2,3` | 2 | 16384 | 4 | min=407 avg=407.750 med=407.500 max=409 | min=37 avg=37.750 med=37.500 max=39 | 4 | 2858 |
| solo_a | a | 0 | y | `1,2` | `3,3` | `2,3->4,5` | `1,2->3,3` | 3 | 16384 | 4 | min=405 avg=408.500 med=409.000 max=411 | min=35 avg=38.500 med=39.000 max=41 | 4 | 2871 |
| solo_a | a | 0 | y | `1,2` | `4,3` | `2,3->4,5` | `1,2->4,3` | 4 | 16384 | 4 | min=413 avg=415.500 med=415.500 max=418 | min=43 avg=45.500 med=45.500 max=48 | 4 | 2875 |
| solo_a | a | 0 | y | `1,2` | `2,4` | `2,3->4,5` | `1,2->2,4` | 3 | 16384 | 4 | min=414 avg=415.750 med=416.000 max=417 | min=44 avg=45.750 med=46.000 max=47 | 4 | 2862 |
