| op | noc | mode | endpoint | posting | cores | total MiB | window cyc | agg B/cyc | agg GB/s | bad counter rows |
|---|---:|---|---|---|---:|---:|---:|---:|---:|---:|
| read | 0 | spread | split3 | standard | 1 | 1.0 | 22608 | 46.381 | 62.6 | 0 |
| read | 0 | spread | split3 | standard | 7 | 7.0 | 103418 | 70.974 | 95.8 | 0 |
| read | 0 | spread | split3 | standard | 14 | 14.0 | 138602 | 105.915 | 143.0 | 0 |
| read | 0 | spread | split3 | standard | 28 | 28.0 | 159822 | 183.705 | 248.0 | 0 |
| read | 0 | spread | split3 | standard | 56 | 56.0 | 276542 | 212.338 | 286.7 | 0 |
| read | 0 | spread | split3 | standard | 118 | 118.0 | 567465 | 218.043 | 294.4 | 0 |
| read | 1 | spread | split3 | standard | 1 | 1.0 | 22616 | 46.364 | 62.6 | 0 |
| read | 1 | spread | split3 | standard | 7 | 7.0 | 85185 | 86.166 | 116.3 | 0 |
| read | 1 | spread | split3 | standard | 14 | 14.0 | 105961 | 138.542 | 187.0 | 0 |
| read | 1 | spread | split3 | standard | 28 | 28.0 | 228292 | 128.608 | 173.6 | 0 |
| read | 1 | spread | split3 | standard | 56 | 56.0 | 374201 | 156.922 | 211.8 | 0 |
| read | 1 | spread | split3 | standard | 118 | 118.0 | 743071 | 166.514 | 224.8 | 0 |
| write | 0 | spread | split3 | standard | 1 | 1.0 | 22300 | 47.021 | 63.5 | 0 |
| write | 0 | spread | split3 | standard | 7 | 7.0 | 60018 | 122.297 | 165.1 | 0 |
| write | 0 | spread | split3 | standard | 14 | 14.0 | 111748 | 131.368 | 177.3 | 0 |
| write | 0 | spread | split3 | standard | 28 | 28.0 | 232562 | 126.246 | 170.4 | 0 |
| write | 0 | spread | split3 | standard | 56 | 56.0 | 478391 | 122.745 | 165.7 | 0 |
| write | 0 | spread | split3 | standard | 118 | 118.0 | 1039322 | 119.051 | 160.7 | 0 |
| write | 1 | spread | split3 | standard | 1 | 1.0 | 22308 | 47.004 | 63.5 | 0 |
| write | 1 | spread | split3 | standard | 7 | 7.0 | 114998 | 63.827 | 86.2 | 0 |
| write | 1 | spread | split3 | standard | 14 | 14.0 | 157895 | 92.974 | 125.5 | 0 |
| write | 1 | spread | split3 | standard | 28 | 28.0 | 204341 | 143.682 | 194.0 | 0 |
| write | 1 | spread | split3 | standard | 56 | 56.0 | 318835 | 184.171 | 248.6 | 0 |
| write | 1 | spread | split3 | standard | 118 | 118.0 | 530974 | 233.028 | 314.6 | 0 |

appended /home/boop/tenstorrent/blackhole-py/microbenching/docs/noc/dram-noc-bench.md
