| noc | major | reserve | dests | rect | packet B | iters | depth | source B/cyc | delivered B/cyc | req/cyc | avg first seen cyc | avg last seen cyc | bad counter | max recv polls |
|---:|---|---:|---:|---|---:|---:|---:|---:|---:|---:|---:|---:|---:|---:|
| 1 | y | 1 | 1 | `2,4->2,4` | 64 | 32 | 1 | 0.257 | 0.238 | 0.00402 | 450.0 | 8598.0 | 0 | 684 |
| 1 | y | 1 | 1 | `2,4->2,4` | 64 | 32 | 4 | 0.609 | 0.603 | 0.00952 | 533.0 | 13595.0 | 0 | 1129 |
| 1 | y | 1 | 1 | `2,4->2,4` | 1024 | 32 | 1 | 3.054 | 3.011 | 0.00298 | 464.0 | 10881.0 | 0 | 895 |
| 1 | y | 1 | 1 | `2,4->2,4` | 1024 | 32 | 4 | 9.525 | 9.416 | 0.00930 | 554.0 | 13920.0 | 0 | 1165 |
| 1 | y | 1 | 1 | `2,4->2,4` | 16384 | 32 | 1 | 28.480 | 28.238 | 0.00174 | 704.0 | 18567.0 | 0 | 1585 |
| 1 | y | 1 | 1 | `2,4->2,4` | 16384 | 32 | 4 | 47.551 | 47.374 | 0.00290 | 1504.0 | 44268.0 | 0 | 3907 |
| 1 | y | 1 | 2 | `3,4->2,4` | 64 | 32 | 1 | 0.257 | 0.476 | 0.00402 | 436.5 | 8593.0 | 0 | 683 |
| 1 | y | 1 | 2 | `3,4->2,4` | 64 | 32 | 4 | 0.610 | 1.205 | 0.00953 | 528.0 | 13583.5 | 0 | 1131 |
| 1 | y | 1 | 2 | `3,4->2,4` | 1024 | 32 | 1 | 3.054 | 6.023 | 0.00298 | 457.0 | 10874.0 | 0 | 889 |
| 1 | y | 1 | 2 | `3,4->2,4` | 1024 | 32 | 4 | 9.427 | 18.641 | 0.00921 | 552.5 | 14056.0 | 0 | 1182 |
| 1 | y | 1 | 2 | `3,4->2,4` | 16384 | 32 | 1 | 28.480 | 56.466 | 0.00174 | 703.0 | 18562.0 | 0 | 1582 |
| 1 | y | 1 | 2 | `3,4->2,4` | 16384 | 32 | 4 | 47.665 | 94.954 | 0.00291 | 1491.0 | 44165.0 | 0 | 3892 |
| 1 | y | 1 | 4 | `5,4->2,4` | 64 | 32 | 1 | 0.257 | 0.953 | 0.00402 | 425.5 | 8577.0 | 0 | 684 |
| 1 | y | 1 | 4 | `5,4->2,4` | 64 | 32 | 4 | 0.610 | 2.412 | 0.00953 | 513.2 | 13568.2 | 0 | 1127 |
| 1 | y | 1 | 4 | `5,4->2,4` | 1024 | 32 | 1 | 3.054 | 12.046 | 0.00298 | 444.8 | 10863.2 | 0 | 890 |
| 1 | y | 1 | 4 | `5,4->2,4` | 1024 | 32 | 4 | 9.509 | 37.589 | 0.00929 | 534.2 | 13925.5 | 0 | 1163 |
| 1 | y | 1 | 4 | `5,4->2,4` | 16384 | 32 | 1 | 28.480 | 112.920 | 0.00174 | 688.8 | 18554.5 | 0 | 1582 |
| 1 | y | 1 | 4 | `5,4->2,4` | 16384 | 32 | 4 | 47.291 | 188.453 | 0.00289 | 1492.0 | 44494.8 | 0 | 3919 |
